id;en;de;fr;it;es;zh;ja;ko;pt;pl;ru;tr;uk
en;English;Englisch;Anglais;Inglese;Inglés;英语;英語;영어;Inglês;Angielski;Английский язык;İngilizce;Англійська
de;German;Deutsch;Allemand;Tedesco;Alemán;德国;ドイツ語;독일어;Alemão;Niemiecki;Немецкий язык;Alman;Німецька
es;Spanish;Spanisch;Espagnol;Spagnolo;Español;西班牙;スペイン語;스페인어;Espanhol;Hiszpański;Испанский;İspanyolca;Іспанська
fr;French;Französisch;Français;Francese;Francés;法语;フランス語;フレンチ;Francês;Francuski;Французский;Fransızca;Французька
it;Italian;Italienisch;Italien;Italiano;Italiano;意大利语;イタリア語;イタリアン;Italiano;Włoski;Итальянский;İtalyan;Італійська
zh;Chinese;Chinesisch;Chinois;Cinese;Chino;中文;中国語;중국어;Chinês;Chiński;Китайский;Çince;Китайська
ja;Japanese;Japanisch;Japonais;Giapponese;Japonés;日本人;日本;일본어;Japonês;Japoński;Японский;Japonca;Японська
ko;Korean;Koreanisch;Coréen;Coreano;Coreano;韩国语;韓国語;한국어;Coreano;Koreański;Корейский;Korece;Корейська
pt;Portuguese;Portugiesisch;Portugais;Portoghese;Portugués;葡萄牙语;ポルトガル語;포르투갈어;Português;Portugalski;Португальский;Portekizce;Португальська
pl;Polish;Polnisch;Polonais;Polacco;Polaco;波兰语;ポーランド;폴란드어;Polaco;Polski;Польский;Lehçe;Польська
ru;Russian;Russisch;Russe;Russo;Ruso;俄语;ロシア語;러시아어;Russo;rosyjski;Русский;Rusça;Російська
tr;Turkish;Türkisch;Turc;Turco;Turco;土耳其语;トルコ語;터키어;Turco;turecki;Турецкий;Türkçe;Турецька
uk;Ukrainian;Ukrainisch;Ukrainien;Ucraino;Ucraniano;乌克兰语;ウクライナ語;우크라이나어;Ucraniano;Ukraiński;Украинский;Ukraynaca;Українська
;;;;;;;;;;;;;
;;;;;;;;;;;;;
INTRO_SKIP;Press a button to skip...;Beliebige Taste zum Überspringen drücken…;Appuyez sur un bouton pour passer...;Premi un pulsante per saltare...;Pulse un botón para saltar...;按下任意键，跳过...;ボタンを押すとスキップします。;건너뛰려면 버튼을 누르세요...;Prima um botão para saltar...;Naciśnij przycisk, aby pominąć...;Нажмите кнопку, чтобы пропустить...;Atlamak için bir düğmeye basın...;Натисніть кнопку, щоб пропустити...
PLAY;Play;Spielen;Jouer;Gioca;Jugar;开始游戏;プレイ;플레이;Jogar;Grać;Играть;Oyun;Відтворити
OPTIONS;Options;Optionen;Options;Opzioni;Opciones;设置;オプション;옵션;Opções;Opcje;Опции;Seçenekler;Параметри
EXIT;Exit;Exit;Sortie;Uscita;Salida;退出;退出;출구;Sair ;Wyjście;Выход;Çıkış;Вихід
SOUNDS;Sounds;Sounds;Sons;Suona;Suena;声音;サウンド;소리;Sons;Dźwięki;Звуки;Sesler;Звуки
MUSIC;Music;Musik;Musique;Musica;Música;音乐;音楽;음악;Música;Muzyka;Музыка;Müzik;Музика
FULLSCREEN;Fullscreen;Vollbild;Plein écran;Schermo intero;Pantalla completa;全屏;フルスクリーン;전체 화면;Ecrã completo;Pełny ekran;Полный экран;Tam Ekran;Повноекранний режим
BACK;Back;Zurück;Retour;Indietro;Volver;返回游戏;戻る;뒤로;Voltar;Powrót;Назад;Geri;Назад
RETURN;Return;Fortsetzen;Retour;Ritorna;Volver;返回;戻る;Return;Regresso;Powrót;Возврат;Dönüş;Повернутися
STATS;Stats;Stats;Stats;Statistiche;Estadísticas;统计数据;統計情報;통계;Estatísticas;Statystyki;Статистика;İstatistikler;Статистика
TUT_MOVE_KEYS;MOVE;BEWEGEN;MOVE;MUOVERSI;MOVER;移动;ムーヴ;MOVE;MOVE;RUCH;ПЕРЕМЕСТИТЬ;HAREKET;MOVE
