id;en;de;fr;it;es;zh;ja;ko;pt;pl;ru;tr;uk
ACHIEV_CELLAR; ;;;;;; ; ; ; ; ; ;
ACHIEV_COURTYARD;The courtyard of Ankerath;Der Hof von Ankerath;La cour d'Ankerath;Il cortile di Ankerath;El patio de Ankerath;安克拉特庭院;アンケラスの中庭;안케라스의 안뜰;O pátio de Ankerath;Dziedziniec Ankerath;Двор Анкерата;Ankerath'ın avlusu;Подвір'я Анкерата
ACHIEV_BEACH;Beach Time;Strand-Zeit;L'heure de la plage;Tempo di spiaggia;Tiempo de playa;海滩时光;ビーチタイム;해변 시간;Tempo de praia;Czas na plaży;Время на пляже;Plaj Zamanı;Пляжний час
ACHIEV_WOODS;Lost in the forest;Verloren im Wald;Perdu dans la forêt;Persi nella foresta;Perdidos en el bosque;迷失在森林中;森に迷い込む;숲에서 길을 잃다;Perdido na floresta;Zagubiony w lesie;Затерянный в лесу;Ormanda kaybolmak;Загублений у лісі
ACHIEV_SANDS;Into the desert;In die Wüste;Dans le désert;Nel deserto;En el desierto;进入沙漠;砂漠へ;사막 속으로;No deserto;Na pustynię;В пустыню;Çöle doğru;У пустелі
ACHIEV_ICE;Frozen;Gefroren;Gelé;Congelato;Congelado;冰封;凍える;Frozen;Congelado;Zamrożony;Замороженный;Dondurulmuş;Замерзли.
ACHIEV_MOUNTAINS;Up to the hills;Hinauf zu den Hügeln;Jusqu'aux collines;Su per le colline;Hasta las colinas;上山;丘の上;언덕 위로;Até às colinas;Aż do wzgórz;На холмы;Tepelere doğru;На пагорби.
ACHIEV_LAVA;Forlorn lands;Verlorene Lande;Terres abandonnées;Terre abbandonate;Tierras desiertas;荒凉之地;荒涼とした土地;황량한 땅;Terras desertas;Opuszczone ziemie;Затерянные земли;Kimsesiz topraklar;Занедбані землі
ACHIEV_SWAMP;Swamps;Sümpfe;Marais;Paludi;Pantanos;沼泽;沼地;늪지대;Pântanos;Bagna;Болота;Bataklıklar;Болота
ACHIEV_VOID;Into the void;In die Leere;Dans le vide;Nel vuoto;Al vacío;进入虚空;虚空へ;허공 속으로;Para o vazio;W pustkę;В пустоту;Boşluğa doğru;У порожнечу
ACHIEV_CAVE;Caves;Höhlen;Grottes;Grotte;Cuevas;洞穴;洞窟;동굴;Cavernas;Jaskinie;Пещеры;Mağaralar;Печери
ACHIEV_AEODRA;Final destination;Endgültiges Ziel;Destination finale;Destinazione finale;Destino final;最终目的地;最終目的地;최종 목적지;Destino final;Miejsce docelowe;Конечный пункт назначения;Son varış noktası;Кінцевий пункт призначення
;;;;;;;;;;;;;
ACHIEV_CELLAR_DESC;;;;;;; ; ;;;;;
ACHIEV_COURTYARD_DESC;Discover the Map Unlock Device to unveil hidden territories.;Entdecke den Map Unlock Mechanismus, um verborgene Gebiete freizuschalten.;Découvrez le Dispositif de Déverrouillage de la Carte pour révéler des territoires cachés.;Scopri il Dispositivo di Sblocco Mappa per rivelare territori nascosti.;Descubre el Dispositivo de Desbloqueo de Mapa para revelar territorios ocultos.;发现地图解锁设备，揭示隐藏的领土。;隠された領域を明らかにするための地図解除デバイスを見つけてください。;숨겨진 영역을 밝히기 위해 지도 잠금 해제 장치를 찾아보세요.;Descubra o Dispositivo de Desbloqueio de Mapa para revelar territórios escondidos.;Odkryj urządzenie odblokowujące mapę, aby odkryć ukryte terytoria.;Откройте для себя устройство разблокировки карт, чтобы открыть скрытые территории.;Gizli bölgeleri ortaya çıkarmak için Harita Kilit Açma Cihazını keşfedin.;Відкрийте для себе Map Unlock Device, щоб відкрити приховані території.
ACHIEV_BEACH_DESC;Discover the Map Unlock Device to unveil hidden territories.;Entdecke den Map Unlock Mechanismus, um verborgene Gebiete freizuschalten.;Découvrez le Dispositif de Déverrouillage de la Carte pour révéler des territoires cachés.;Scopri il Dispositivo di Sblocco Mappa per rivelare territori nascosti.;Descubre el Dispositivo de Desbloqueo de Mapa para revelar territorios ocultos.;发现地图解锁设备，揭示隐藏的领土。;隠された領域を明らかにするための地図解除デバイスを見つけてください。;숨겨진 영역을 밝히기 위해 지도 잠금 해제 장치를 찾아보세요.;Descubra o Dispositivo de Desbloqueio de Mapa para revelar territórios escondidos.;Odkryj urządzenie odblokowujące mapę, aby odkryć ukryte terytoria.;Откройте для себя устройство разблокировки карт, чтобы открыть скрытые территории.;Gizli bölgeleri ortaya çıkarmak için Harita Kilit Açma Cihazını keşfedin.;Відкрийте для себе Map Unlock Device, щоб відкрити приховані території.
ACHIEV_WOODS_DESC;Discover the Map Unlock Device to unveil hidden territories.;Entdecke den Map Unlock Mechanismus, um verborgene Gebiete freizuschalten.;Découvrez le Dispositif de Déverrouillage de la Carte pour révéler des territoires cachés.;Scopri il Dispositivo di Sblocco Mappa per rivelare territori nascosti.;Descubre el Dispositivo de Desbloqueo de Mapa para revelar territorios ocultos.;发现地图解锁设备，揭示隐藏的领土。;隠された領域を明らかにするための地図解除デバイスを見つけてください。;숨겨진 영역을 밝히기 위해 지도 잠금 해제 장치를 찾아보세요.;Descubra o Dispositivo de Desbloqueio de Mapa para revelar territórios escondidos.;Odkryj urządzenie odblokowujące mapę, aby odkryć ukryte terytoria.;Откройте для себя устройство разблокировки карт, чтобы открыть скрытые территории.;Gizli bölgeleri ortaya çıkarmak için Harita Kilit Açma Cihazını keşfedin.;Відкрийте для себе приховані території за допомогою пристрою розблокування мапи.
ACHIEV_SANDS_DESC;Discover the Map Unlock Device to unveil hidden territories.;Entdecke den Map Unlock Mechanismus, um verborgene Gebiete freizuschalten.;Découvrez le Dispositif de Déverrouillage de la Carte pour révéler des territoires cachés.;Scopri il Dispositivo di Sblocco Mappa per rivelare territori nascosti.;Descubre el Dispositivo de Desbloqueo de Mapa para revelar territorios ocultos.;发现地图解锁设备，揭示隐藏的领土。;隠された領域を明らかにするための地図解除デバイスを見つけてください。;숨겨진 영역을 밝히기 위해 지도 잠금 해제 장치를 찾아보세요.;Descubra o Dispositivo de Desbloqueio de Mapa para revelar territórios escondidos.;Odkryj urządzenie odblokowujące mapę, aby odkryć ukryte terytoria.;Откройте для себя устройство разблокировки карт, чтобы открыть скрытые территории.;Gizli bölgeleri ortaya çıkarmak için Harita Kilit Açma Cihazını keşfedin.;Знайдіть пристрій розблокування мапи, щоб відкрити приховані території.
ACHIEV_ICE_DESC;Discover the Map Unlock Device to unveil hidden territories.;Entdecke den Map Unlock Mechanismus, um verborgene Gebiete freizuschalten.;Découvrez le Dispositif de Déverrouillage de la Carte pour révéler des territoires cachés.;Scopri il Dispositivo di Sblocco Mappa per rivelare territori nascosti.;Descubre el Dispositivo de Desbloqueo de Mapa para revelar territorios ocultos.;发现地图解锁设备，揭示隐藏的领土。;隠された領域を明らかにするための地図解除デバイスを見つけてください。;숨겨진 영역을 밝히기 위해 지도 잠금 해제 장치를 찾아보세요.;Descubra o Dispositivo de Desbloqueio de Mapa para revelar territórios escondidos.;Odkryj urządzenie odblokowujące mapę, aby odkryć ukryte terytoria.;Откройте для себя устройство разблокировки карт, чтобы открыть скрытые территории.;Gizli bölgeleri ortaya çıkarmak için Harita Kilit Açma Cihazını keşfedin.;Знайдіть пристрій розблокування мапи, щоб відкрити приховані території.
ACHIEV_MOUNTAINS_DESC;Discover the Map Unlock Device to unveil hidden territories.;Entdecke den Map Unlock Mechanismus, um verborgene Gebiete freizuschalten.;Découvrez le Dispositif de Déverrouillage de la Carte pour révéler des territoires cachés.;Scopri il Dispositivo di Sblocco Mappa per rivelare territori nascosti.;Descubre el Dispositivo de Desbloqueo de Mapa para revelar territorios ocultos.;发现地图解锁设备，揭示隐藏的领土。;隠された領域を明らかにするための地図解除デバイスを見つけてください。;숨겨진 영역을 밝히기 위해 지도 잠금 해제 장치를 찾아보세요.;Descubra o Dispositivo de Desbloqueio de Mapa para revelar territórios escondidos.;Odkryj urządzenie odblokowujące mapę, aby odkryć ukryte terytoria.;Откройте для себя устройство разблокировки карт, чтобы открыть скрытые территории.;Gizli bölgeleri ortaya çıkarmak için Harita Kilit Açma Cihazını keşfedin.;Знайдіть пристрій розблокування мапи, щоб відкрити приховані території.
ACHIEV_LAVA_DESC;Discover the Map Unlock Device to unveil hidden territories.;Entdecke den Map Unlock Mechanismus, um verborgene Gebiete freizuschalten.;Découvrez le Dispositif de Déverrouillage de la Carte pour révéler des territoires cachés.;Scopri il Dispositivo di Sblocco Mappa per rivelare territori nascosti.;Descubre el Dispositivo de Desbloqueo de Mapa para revelar territorios ocultos.;发现地图解锁设备，揭示隐藏的领土。;隠された領域を明らかにするための地図解除デバイスを見つけてください。;숨겨진 영역을 밝히기 위해 지도 잠금 해제 장치를 찾아보세요.;Descubra o Dispositivo de Desbloqueio de Mapa para revelar territórios escondidos.;Odkryj urządzenie odblokowujące mapę, aby odkryć ukryte terytoria.;Откройте для себя устройство разблокировки карт, чтобы открыть скрытые территории.;Gizli bölgeleri ortaya çıkarmak için Harita Kilit Açma Cihazını keşfedin.;Знайдіть пристрій розблокування мапи, щоб відкрити приховані території.
ACHIEV_SWAMP_DESC;Discover the Map Unlock Device to unveil hidden territories.;Entdecke den Map Unlock Mechanismus, um verborgene Gebiete freizuschalten.;Découvrez le Dispositif de Déverrouillage de la Carte pour révéler des territoires cachés.;Scopri il Dispositivo di Sblocco Mappa per rivelare territori nascosti.;Descubre el Dispositivo de Desbloqueo de Mapa para revelar territorios ocultos.;发现地图解锁设备，揭示隐藏的领土。;隠された領域を明らかにするための地図解除デバイスを見つけてください。;숨겨진 영역을 밝히기 위해 지도 잠금 해제 장치를 찾아보세요.;Descubra o Dispositivo de Desbloqueio de Mapa para revelar territórios escondidos.;Odkryj urządzenie odblokowujące mapę, aby odkryć ukryte terytoria.;Откройте для себя устройство разблокировки карт, чтобы открыть скрытые территории.;Gizli bölgeleri ortaya çıkarmak için Harita Kilit Açma Cihazını keşfedin.;Знайдіть пристрій розблокування мапи, щоб відкрити приховані території.
ACHIEV_VOID_DESC;Discover the Map Unlock Device to unveil hidden territories.;Entdecke den Map Unlock Mechanismus, um verborgene Gebiete freizuschalten.;Découvrez le Dispositif de Déverrouillage de la Carte pour révéler des territoires cachés.;Scopri il Dispositivo di Sblocco Mappa per rivelare territori nascosti.;Descubre el Dispositivo de Desbloqueo de Mapa para revelar territorios ocultos.;发现地图解锁设备，揭示隐藏的领土。;隠された領域を明らかにするための地図解除デバイスを見つけてください。;숨겨진 영역을 밝히기 위해 지도 잠금 해제 장치를 찾아보세요.;Descubra o Dispositivo de Desbloqueio de Mapa para revelar territórios escondidos.;Odkryj urządzenie odblokowujące mapę, aby odkryć ukryte terytoria.;Откройте для себя устройство разблокировки карт, чтобы открыть скрытые территории.;Gizli bölgeleri ortaya çıkarmak için Harita Kilit Açma Cihazını keşfedin.;Знайдіть пристрій розблокування мапи, щоб відкрити приховані території.
ACHIEV_CAVE_DESC;Discover the Map Unlock Device to unveil hidden territories.;Entdecke den Map Unlock Mechanismus, um verborgene Gebiete freizuschalten.;Découvrez le Dispositif de Déverrouillage de la Carte pour révéler des territoires cachés.;Scopri il Dispositivo di Sblocco Mappa per rivelare territori nascosti.;Descubre el Dispositivo de Desbloqueo de Mapa para revelar territorios ocultos.;发现地图解锁设备，揭示隐藏的领土。;隠された領域を明らかにするための地図解除デバイスを見つけてください。;숨겨진 영역을 밝히기 위해 지도 잠금 해제 장치를 찾아보세요.;Descubra o Dispositivo de Desbloqueio de Mapa para revelar territórios escondidos.;Odkryj urządzenie odblokowujące mapę, aby odkryć ukryte terytoria.;Откройте для себя устройство разблокировки карт, чтобы открыть скрытые территории.;Gizli bölgeleri ortaya çıkarmak için Harita Kilit Açma Cihazını keşfedin.;Знайдіть пристрій для розблокування мапи, щоб відкрити приховані території.
ACHIEV_AEODRA_DESC;Find the arena of Arda, the Fallen.;Finde die Arena von Arda, der Gefallenen.;Trouvez l'arène d'Arda, la déchue;Trova l'arena di Arda, i Caduti;Encuentra la arena de Arda, la Caída;寻找阿尔达的竞技场，堕落的人;堕天のアルダの闘技場を探す;타락한 아르다의 투기장 찾기;Encontrar a arena de Arda, o Caído;Znajdź arenę Ardy, Upadłych;Найдите арену Арды, падшие;Arda'nın arenasını bulun, Düşmüşler;Знайдіть арену Арди, Занепалої
;;;;;;;;;;;;;
;;;;;;;;;;;;;
ACHIEV_CELLAR_UNLOCK; ;;;;;; ; ;; ; ; ;
ACHIEV_COURTYARD_UNLOCK;Unlocks the courtyard;Schaltet den Hof von Ankerath frei;Déverrouille la cour;Sblocca il cortile;Desbloquea el patio;解锁庭院;中庭のロック解除;안뜰을 잠금 해제합니다.;Desbloqueia o pátio;Odblokowuje dziedziniec;Открывает внутренний двор;Avlunun kilidini açar;Відмикає внутрішній двір
ACHIEV_BEACH_UNLOCK;Unlocks the beach;Schaltet den Strand frei;Déverrouille la plage;Sblocca la spiaggia;Desbloquea la playa;解锁海滩;ビーチのロック解除;해변을 잠금 해제합니다.;Desbloqueia a praia;Odblokowuje plażę;Разблокирует пляж;Plajın kilidini açar;Відкриває пляж
ACHIEV_WOODS_UNLOCK;Unlocks the forests;Schaltet die Wälder frei;Déverrouille la forêt;Sblocca la foresta;Desbloquea el bosque;解开森林之锁;森のロックを解除する;숲 잠금 해제;Desbloqueia a floresta;Odblokowuje las;Разблокирует лес;Ormanın kilidini açar;Відкриває ліси
ACHIEV_SANDS_UNLOCK;Unlocks the eternal sands;Schaltet die Ewigen Sande frei;Déverrouille les sables éternels;Sblocca le sabbie eterne;Desbloquea las arenas eternas;解开永恒的沙子;永遠の砂のロック解除;영원한 모래를 잠금 해제합니다.;Desbloqueia as areias eternas;Odblokowuje wieczne piaski;Откройте вечные пески;Sonsuz kumların kilidini açar;Відкриває вічні піски
ACHIEV_ICE_UNLOCK;Unlocks the frozen lands;Schaltet die Gefrorenen Ebenen frei;Débloque les terres gelées;Sblocca le terre ghiacciate;Desbloquea las tierras heladas;解开冰封的土地;凍てつく大地のロックを解除;얼어붙은 땅을 잠금 해제합니다.;Desbloqueia as terras congeladas;Odblokowuje mroźne krainy;Разблокирует замороженные земли;Donmuş toprakların kilidini açar;Відкриває замерзлі землі
ACHIEV_MOUNTAINS_UNLOCK;Unlocks the mountain peaks;Schaltet die Berggipfel frei;Débloque les sommets des montagnes;Sblocca le cime delle montagne;Desbloquea las cumbres de las montañas;解开山峰之锁;山頂のロックを解除;산봉우리를 잠금 해제합니다.;Desbloqueia os picos da montanha;Odblokowuje górskie szczyty;Открывает горные вершины;Dağ zirvelerinin kilidini açar;Відкриває гірські вершини
ACHIEV_LAVA_UNLOCK;Unlocks the forlorn lands;Schaltet die Verlorenen Lande frei;Débloque les terres désolées;Sblocca le terre abbandonate;Desbloquea las tierras desamparadas;解锁荒凉的土地;荒涼とした土地のロック解除;버려진 땅을 잠금 해제합니다.;Desbloqueia as terras desesperadas;Odblokowuje opuszczone ziemie;Открывает заброшенные земли;Kimsesiz toprakların kilidini açar;Відкриває занедбані землі
