id;en;de;fr;it;es;zh;ja;ko;pt;pl;ru;tr;uk
SKILL_MELEE_ATK_CINDERFALL;Cinderfall;Aschefall;Chute-Cendres;Pioggia di Brace;Lluvia de Cenizas;灰烬坠落;シンダーフォール;잿불낙하;Quedacinas;Spada Popiołów;Пеплопад;Kor Yağmuru;Падіння Попелу
SKILL_EVASION_CHANCE;Evasion Chance;Ausweichchance;Chance d’évasion;Probabilità di schivata;Probabilidad de evasión;闪避几率;回避率;회피 확률;Chance de evasão;Szansa na unik;Шанс уклонения;Kaçınma Şansı;Шанс ухилення
SKILL_ENDURANCE_ENERGY_MAX;Hybrid Empowerment;Hybrid Verstärkung;Puissance Hybride;Potenziamento Ibrido;Empoderamiento Híbrido;混合强化;ハイブリッド・エンパワーメント;하이브리드 강화;Potencialização Híbrida;Hybridowe Wzmocnienie;Гибридное усиление;Hibrit Güçlendirme;Гібридне розширення можливостей
SKILL_ENDURANCE_ENERGY_REG;Hybrid Regeneration;Hybrid Regeneration;Régénération Hybride;Rigenerazione Ibrida;Regeneración Híbrida;混合恢复;ハイブリッド・リジェネレーション;하이브리드 재생;Regeneração Híbrida;Hybrydowa Regeneracja;Гибридная регенерация;Hibrit Yenilenme;Гібридна регенерація
SKILL_ATK_REP_MELEE_COLOSSAL_STRIKE;Colossal Strike;Kolossaler Schlag;Frappe Colossale;Colpo Colossale;Golpe Colosal;巨力猛击;コロッサル・ストライク;거대한 타격;Golpe Colossal;Kolosalne Uderzenie;Колоссальный Удар;Devasa Saldırı;Колосальний удар
SKILL_RANGE_BLEEDING_BURST;Sanguine Shot;Blutiger Schuss;Coup de sang;Colpo Sanguinario;Golpe Sanguinario;圣光射击;サングイン・ショット;산긴 샷;Tiro Sanguíneo;Sanguine Shot;Выстрел сангвиника;Sanguine Shot;Сангвінічний постріл
SKILL_MELEE_BLEEDING_BURST;Sanguine Strike;Blutiger Schlag;Frappe sanglante;Colpo Sanguigno;Golpe Sanguinario;圣光一击;サングイン・ストライク;산긴 스트라이크;Golpe Sanguíneo;Sanguine Strike;Сангвинический удар;Sanguine Strike;Сангвінічний удар
SKILL_RANGE_ATK_LIGHTNING_STRIKE;Lightning Strike;Blitzschlag;Coup de foudre;Colpo di fulmine;Rayo de descarga;闪电攻击;ライトニング・ストライク;번개 공격;Ataque relâmpago;Uderzenie pioruna;Удар молнии;Yıldırım Çarpması;Удар блискавки
SKILL_MELEE_ATK_DISCHARGE;Discharge;Entladen;Décharge;Scarica;Descarga;放电;ディスチャージ;방전;Descarga;Wyładowanie;Разрядка;Tahliye;Розряд
SKILL_MELEE_ATK_FISSURE;Fissure;Riss;Fissure;Fissura;Fisura;裂缝;亀裂;균열;Fissure;Szczelina;Фиссура;Fissür;Розлом
