id;en;de;fr;it;es;zh;ja;ko;pt;pl;ru;tr;uk
CINEMATIC_SUB_0;The world as we knew it lies in ruin.;Die Welt, wie wir sie kannten, liegt in Trümmern.;Le monde tel que nous le connaissions est en ruines.;Il mondo come lo conoscevamo giace in rovina.;El mundo tal como lo conocíamos yace en ruinas.;昔日的世界已成废墟。;私たちの知っていた世界は崩壊した。;우리가 알던 세상은 폐허가 되었다.;O mundo como o conhecíamos está em ruínas.;Świat, jaki znaliśmy, legł w gruzach.;Мир, каким мы его знали, лежит в руинах.;Bildiğimiz dünya harap olmuş durumda.;Світ, який ми знали, лежить у руїнах.
CINEMATIC_SUB_1;Forged by the Monumental Light, the Aeodra sought to surpass their creator and rule over all of creation. ;Geformt vom Monumentalen Licht, strebten die Aeodra danach, ihren Schöpfer zu übertreffen und über die gesamte Schöpfung zu herrschen.;Forgés par la Lumière Monumentale, les Aeodra cherchèrent à surpasser leur créateur et dominer toute la création.;Forgiati dalla Luce Monumentale, gli Aeodra cercarono di superare il loro creatore e dominare tutta la creazione.;Forjados por la Luz Monumental, los Aeodra buscaron superar a su creador y gobernar toda la creación.;在纪元之光的锻造下，Aeodra试图超越他们的造物主，统治整个创世。;モニュメンタル・ライトによって鍛えられたエオドラは、自らの創造主を超え、万物を支配しようとした。;거대한 빛에 의해 태어난 에오드라는 창조자를 뛰어넘어 모든 것을 지배하려 했다.;Forjados pela Luz Monumental, os Aeodra buscavam superar seu criador e governar toda a criação.;Ukształtowani przez Monumentalne Światło, Aeodra pragnęli przewyższyć swego stwórcę i zawładnąć całym stworzeniem.;Созданные Монументальным Светом, Эодра стремились превзойти своего создателя и править всем творением.;Anıtsal Işık tarafından şekillendirilen Aeodra, yaratıcılarını aşarak tüm yaratılışa hükmetmek istedi.;Викувані Монументальним Світлом, еодри прагнули перевершити свого творця і панувати над усім творінням. 
CINEMATIC_SUB_2;With promises of endless wealth, they seduced mankind and forged a covenant of betrayal to extinguish the Light. ;Mit dem Versprechen unendlichen Reichtums verführten sie die Menschheit und schlossen einen Pakt des Verrats, um das Licht auszulöschen.;Avec des promesses de richesse infinie, ils séduisirent l’humanité et forgèrent un pacte de trahison pour éteindre la Lumière.;Con promesse di ricchezze infinite, sedussero l'umanità e forgiarono un patto di tradimento per spegnere la Luce.;Con promesas de riquezas infinitas, sedujeron a la humanidad y forjaron un pacto de traición para extinguir la Luz.;他们用无尽财富的承诺诱惑人类，铸就了一项背叛的契约，意图熄灭光明。;無限の富を約束し、彼らは人類を誘惑し、光を消すための裏切りの契約を結んだ。;끝없는 부를 약속하며 인류를 유혹했고, 빛을 끄기 위한 배신의 계약을 맺었다.;Com promessas de riqueza infinita, seduziram a humanidade e forjaram um pacto de traição para extinguir a Luz.;Obiecując nieskończone bogactwo, zwiedli ludzkość i zawarli pakt zdrady, by zgasić Światło.;Соблазнив человечество обещаниями бесконечного богатства, они заключили предательский союз, чтобы погасить Свет.;Sonsuz zenginlik vaatleriyle insanlığı ayarttılar ve Işık’ı söndürmek için ihanet antlaşması yaptılar.;Обіцянками нескінченного багатства вони спокусили людство і уклали угоду про зраду, щоб погасити Світло. 
CINEMATIC_SUB_3;And so, the skies burned. ;Und so brannten die Himmel.;Ainsi, les cieux brûlèrent.;E così, i cieli bruciarono.;Y así, los cielos ardieron.;于是，天空燃烧。;そして、空が燃え上がった。;그렇게 하늘이 불탔다.;E assim, os céus queimaram.;I tak niebiosa zapłonęły.;И тогда небеса воспылали.;Ve böylece gökler yandı.;І ось, небо запалало. 
CINEMATIC_SUB_4;The earth trembled. And in the wake of the great battle, the Monumental Light was shattered;Die Erde bebte. Und im Gefolge der großen Schlacht wurde das Monumentale Licht zerschmettert.;La terre trembla. Et à la suite de la grande bataille, la Lumière Monumentale fut brisée.;La terra tremò. E dopo la grande battaglia, la Luce Monumentale fu frantumata.;La tierra tembló. Y tras la gran batalla, la Luz Monumental fue destruida.;大地震动。伟大战争之后，纪元之光被击碎。;大地が震え、大戦の果てにモニュメンタル・ライトは砕け散った。;땅이 흔들리고, 위대한 전쟁 끝에 거대한 빛이 산산조각 났다.;A terra tremeu. E após a grande batalha, a Luz Monumental foi despedaçada.;Ziemia zadrżała. W następstwie wielkiej bitwy, Monumentalne Światło zostało rozbite.;Земля задрожала. После великой битвы Монументальный Свет был разрушен.;Yer sallandı. Ve büyük savaşın ardından Anıtsal Işık parçalandı.;Земля здригнулася. І в результаті великої битви Монументальне Світло було розбите вщент.
CINEMATIC_SUB_5;breaking into countless fragments, now lost in the shadows of a world consumed by darkness.;Zersplittert in unzählige Fragmente, nun verloren im Schatten einer von Dunkelheit verzehrten Welt.;Réduite en d’innombrables fragments, maintenant perdus dans l’ombre d’un monde consumé par les ténèbres.;Infranta in innumerevoli frammenti, ora perduti nelle ombre di un mondo consumato dall’oscurità.;Quebrada en incontables fragmentos, ahora perdidos en las sombras de un mundo consumido por la oscuridad.;碎成无数片段，如今迷失于被黑暗吞噬的世界阴影中。;数え切れない破片に砕け、闇に飲まれた世界の影に失われた。;수많은 조각으로 흩어져, 어둠에 잠긴 세계의 그림자 속에 사라졌다.;Quebrando-se em incontáveis fragmentos, agora perdidos nas sombras de um mundo consumido pela escuridão.;Rozbita na niezliczone odłamki, teraz zagubione w cieniach świata pochłoniętego przez ciemność.;Распавшийся на бесчисленные фрагменты, теперь потерянные в тенях мира, поглощённого тьмой.;Sayısız parçaya bölünüp karanlık tarafından yutulan bir dünyanın gölgelerinde kayboldu.;розбившись на незліченну кількість уламків, які тепер губляться в тінях світу, поглинутого темрявою.
CINEMATIC_SUB_6;The Light, bound by a greater purpose, embraced mankind's choice.;Das Licht, gebunden an einen höheren Zweck, akzeptierte die Entscheidung der Menschheit.;La Lumière, liée à un dessein plus grand, accepta le choix de l’humanité.;La Luce, legata a uno scopo superiore, accettò la scelta dell’umanità.;La Luz, atada a un propósito mayor, aceptó la elección de la humanidad.;光因更伟大的使命而存在，它接受了人类的选择。;より大きな目的に縛られた光は、人類の選択を受け入れた。;더 큰 목적에 묶인 빛은 인류의 선택을 받아들였다.;A Luz, vinculada a um propósito maior, aceitou a escolha da humanidade.;Światło, związane większym celem, zaakceptowało wybór ludzkości.;Свет, связанный великой целью, принял выбор человечества.;Daha büyük bir amaca bağlı olan Işık, insanlığın seçimini kabul etti.;Світло, пов'язане великою метою, прийняло вибір людства.
CINEMATIC_SUB_7;For only through the darkness could they find the will to return to the Light. ;Denn nur durch die Dunkelheit konnten sie den Willen finden, zum Licht zurückzukehren.;Car c’est seulement à travers les ténèbres qu’ils pouvaient retrouver la volonté de revenir à la Lumière.;Solo attraverso l’oscurità potevano trovare la volontà di tornare alla Luce.;Solo a través de la oscuridad podrían encontrar la voluntad de volver a la Luz.;唯有穿越黑暗，他们才能找到重返光明的意志。;闇を通じてのみ、彼らは光へ戻る意志を見出せた。;어둠을 통과해야만, 그들은 다시 빛으로 돌아갈 의지를 찾을 수 있었다.;Pois apenas através da escuridão eles poderiam encontrar a vontade de retornar à Luz.;Tylko poprzez ciemność mogli odnaleźć wolę, by powrócić do Światła.;Только через тьму они могли обрести волю вернуться к Свету.;Sadece karanlık aracılığıyla Işık’a dönme iradesini bulabilirlerdi.;Бо лише крізь темряву вони могли знайти волю повернутися до Світла. 
CINEMATIC_SUB_8;The era of Light faded, and an epoch of darkness descended over the world.;Die Ära des Lichts verblasste, und eine Epoche der Dunkelheit legte sich über die Welt.;L’ère de la Lumière s’estompa, et une époque de ténèbres s’abattit sur le monde.;L’era della Luce svanì, e un’epoca di oscurità calò sul mondo.;La era de la Luz se desvaneció, y una época de oscuridad descendió sobre el mundo.;光明的时代消逝了，黑暗纪元降临世界。;光の時代は終わり、闇の時代が世界を覆った。;빛의 시대는 저물고, 어둠의 시대가 세상에 내려앉았다.;A era da Luz desvaneceu, e uma época de escuridão caiu sobre o mundo.;Era Światła zgasła, a epoka ciemności spowiła świat.;Эпоха Света угасла, и мир поглотила эпоха тьмы.;Işık dönemi soldu ve dünyaya karanlık bir çağ indi.;Епоха Світла згасла, і над світом запанувала епоха темряви.
CINEMATIC_SUB_9;Wanderers rose from the shattered world, drawn to the fragments of Light like moths to a flame.;Wanderer erhoben sich aus der zerschmetterten Welt, von den Licht-Fragmenten angezogen wie Motten von einer Flamme.;Des vagabonds émergèrent du monde brisé, attirés par les fragments de Lumière tels des papillons de nuit par une flamme.;Vagabondi emersero dal mondo frantumato, attratti dai frammenti di Luce come falene alla fiamma.;Vagabundos surgieron del mundo roto, atraídos por los fragmentos de Luz como polillas a la llama.;流浪者从破碎的世界中崛起，被光之碎片吸引，如飞蛾扑火。;世界の破片から放浪者たちが現れ、光の欠片に引き寄せられた。;부서진 세계에서 방랑자들이 일어나, 빛의 조각에 이끌렸다.;Viajantes surgiram do mundo despedaçado, atraídos pelos fragmentos da Luz como mariposas pela chama.;Wędrowcy powstali z rozbitego świata, przyciągani fragmentami Światła niczym ćmy do płomienia.;Странники восстали из разбитого мира, привлечённые осколками Света, как мотыльки на огонь.;Parçalanmış dünyadan gezginler yükseldi, Işık’ın parçalarına ateşe uçan güveler gibi çekildiler.;З розбитого світу повстали блукачі, яких, як метеликів на полум'я, тягнуло до уламків Світла.
