id;en;de;fr;it;es;zh;ja;ko;pt;pl;ru;tr;uk
GREATSWORD;Greatsword;Großschwert;Greatsword;Greatsword;Greatsword;大剑;グレートソード;대검;Grandes palavras-chave;Wielki miecz;Великий меч;Büyük Kılıç;Greatsword
GREATSWORD_DESC;-;-;-;-;-;;;;;-;-;-;-
SHORTSWORD;Shortsword;Kurzschwert;Épée courte;Spada corta;Espada corta;短剑;ショートソード;쇼트소드;Shortsword;Krótki miecz;Шортворд;Kısa Kılıç;Короткий меч.
SHORTSWORD_DESC;-;-;-;-;-;-;-;-;-;-;-;-;-
DAGGER;Dagger;Dolch;Dagger;Dagger;Daga;匕首;ダガー;단검;Adaga;Sztylet;Кинжал;Hançer;Кинджал
DAGGER_DESC;-;-;-;-;-;-;-;-;-;-;-;-;-
FLAIL;Flail;Morgenstern;Fléau;Flail;Azotador;连枷;フレイル;도리깨;Flail;Flail;Flail;Flail;Дрючок.
FLAIL_DESC;-;-;-;-;-;-;-;-;-;-;-;-;-
LIGHT_STAFF;Light Staff;Stab des Lichts;Personnel léger;Personale leggero;Personal ligero;光明法杖;ライトスタッフ;빛의 지팡이;Pessoal Ligeiro;Lekki personel;Легкий персонал;Hafif Personel;Світловий посох.
LIGHT_STAFF_DESC;-;-;-;-;-;-;-;-;-;-;-;-;-
DARK_STAFF;Dark Staff;Stab der Dunkelheit;Bâton noir;Bastone scuro;Báculo oscuro;黑暗法杖;ダークスタッフ;어둠의 지팡이;Pessoal das Trevas;Mroczny personel;Темный посох;Karanlık Asa;Темний посох
DARK_STAFF_DESC;Projectiles pierce through 1 enemy.;Projektile durchdringen 1 Gegner.;Les projectiles transpercent un ennemi.;I proiettili attraversano un nemico.;Los proyectiles atraviesan a un enemigo.;投射物会穿透1个敌人。;敵1体を貫通する弾丸を発射する。;투사체가 적 1명을 관통합니다.;Os projécteis atravessam 1 inimigo.;Pociski przebijają 1 przeciwnika.;Снаряды пронзают 1 врага насквозь.;Mermiler 1 düşmanı delip geçer.;Снаряди пробивають 1 ворога наскрізь.
ICE_STAFF;Ice Staff;Eis-Stab;Bâton de glace;Personale di ghiaccio;Personal de hielo;寒冰法杖;アイススタッフ;얼음 지팡이;Cajado de gelo;Ice Staff;Ледяной посох;Buz Personeli;Крижаний посох
ICE_STAFF_DESC;Projectiles freeze enemies.;Projektile frieren Gegner ein.;Les projectiles gèlent les ennemis.;I proiettili congelano i nemici.;Los proyectiles congelan a los enemigos.;投射物会冻结敌人。;弾丸が敵を凍らせる。;투사체가 적을 얼려버립니다.;Os projécteis congelam os inimigos.;Pociski zamrażają wrogów.;Снаряды замораживают врагов.;Mermiler düşmanları dondurur.;Заморожує ворогів.
FOCUS;Focus;Fokus;Focus;Focus;Enfoque;法宝;フォーカス;집중;Foco;Skupienie;Фокус;Odaklanma;Зосередженість
FOCUS_DESC;Projectiles explode on hit. Scaling with AoE size.;Projektile explodieren bei einem Treffer. Skaliert mit der AoE-Größe.;Les projectiles explosent lorsqu'ils sont touchés. Mise à l'échelle avec la taille de l'AoE.;I proiettili esplodono al momento del colpo. Scala con le dimensioni dell'AoE.;Los proyectiles explotan al impactar. Escala con el tamaño del AoE.;投射物在击中时爆炸。爆炸范围随AOE大小变化。;命中時に爆発する。AoEの大きさに応じて変化する。;투사체가 적중하면 폭발합니다. 범위 크기에 따라 확장됩니다.;Os projécteis explodem ao serem atingidos. Escala com tamanho de AoE.;Pociski wybuchają przy trafieniu. Skalowanie wraz z rozmiarem zasięgu.;Снаряды взрываются при попадании. Масштаб зависит от размера АоЕ.;Mermiler isabet ettiğinde patlar. AoE boyutu ile ölçeklendirilir.;Снаряди вибухають при попаданні. Масштабування за розміром АоЕ.
SCYTHE;Scythe;Sense;Scythe;Falce;Guadaña;镰刀;大鎌;낫;Scythe;Kosa;Коса;Tırpan;Коса
